dataset,n,M,metodo,tiempo
dinamica,0,100,DP,0.948015
dinamica,1,150,DP,0.760584
dinamica,2,200,DP,0.727255
dinamica,3,250,DP,0.922534
dinamica,4,300,DP,0.776799
dinamica,5,350,DP,0.688058
dinamica,6,400,DP,0.921694
dinamica,7,450,DP,0.767729
dinamica,8,500,DP,0.719005
dinamica,9,550,DP,1.238168
dinamica,10,600,DP,0.888057
dinamica,11,650,DP,1.066885
dinamica,12,700,DP,1.302893
dinamica,13,750,DP,1.076232
dinamica,14,100,DP,0.902984
dinamica,15,150,DP,0.852196
dinamica,16,200,DP,0.748474
dinamica,17,250,DP,0.750077
dinamica,18,300,DP,0.750629
dinamica,19,350,DP,0.882219
dinamica,20,400,DP,1.486051
dinamica,21,450,DP,1.160181
dinamica,22,500,DP,1.391442
dinamica,23,550,DP,1.50016
dinamica,24,600,DP,0.915008
dinamica,25,650,DP,0.825465
dinamica,26,700,DP,0.665075
dinamica,27,750,DP,0.70047
dinamica,28,100,DP,0.816152
dinamica,29,150,DP,0.732022
