n,tiempo,metodo,dataset
2,0.000003,BT,mejor-caso-bt
4,0.000001,BT,mejor-caso-bt
6,0.000000,BT,mejor-caso-bt
8,0.000000,BT,mejor-caso-bt
10,0.000000,BT,mejor-caso-bt
12,0.000000,BT,mejor-caso-bt
14,0.000000,BT,mejor-caso-bt
16,0.000000,BT,mejor-caso-bt
18,0.000000,BT,mejor-caso-bt
20,0.000001,BT,mejor-caso-bt
22,0.000000,BT,mejor-caso-bt
24,0.000000,BT,mejor-caso-bt
26,0.000000,BT,mejor-caso-bt
28,0.000001,BT,mejor-caso-bt
30,0.000000,BT,mejor-caso-bt
32,0.000000,BT,mejor-caso-bt
34,0.000000,BT,mejor-caso-bt
36,0.000000,BT,mejor-caso-bt
38,0.000000,BT,mejor-caso-bt
40,0.000000,BT,mejor-caso-bt
42,0.000000,BT,mejor-caso-bt
